PREGUNTA,SUMA
6.5,12341
2.8,12340
11.2,12340
3.1,12338
6.3,12335
9.1,12335
11.3,12335
2.3,12334
5.3,12334
10.6,12334
12.1,12334
9.4,12333
8.2,12330
11.1,12330
8.1,12327
2.1,12326
10.4,12325
5.4,12324
6.1,12324
2.4,12322
2.11,12322
7.1,12321
6.4,12318
2.12,12317
11.12,12314
12.4,12314
10.3,12313
2.7,12309
2.5,12308
7.4,12306
2.9,12304
2.1,12302
2.2,12299
9.2,12299
10.9,12297
10.5,12290
9.3,12286
5.8,12283
11.11,12282
7.3,12281
10.7,12281
11.1,12275
10.8,12274
12.6,12273
6.2,12272
14.1,12271
10.2,12261
11.8,12248
11.9,12246
11.15,12244
5.7,12232
3.2,12231
12.5,12226
5.1,12208
11.6,12193
11.16,12191
14.2,12181
10.1,12165
5.6,12164
12.3,12164
11.7,12119
5.5,12116
11.13,12085
11.5,12015
12.2,11993
5.2,11965
11.14,11953
2.6,11854
7.2,11789
11.4,11684
12.8,3113
